,focal_habitat,sis_habitat,focal_metabolism,sis_metabolism
Flavobacteriale_jump21,NA,NA|host|host|NA|NA|NA|host|host|host|NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|sediment|NA|NA|water|NA|water|host|NA|NA|host|sediment|NA|host|water|NA|sediment|sediment|host|host|sediment|water|NA|NA|NA|sediment|water|water|NA|host|host|host|host|host|host|NA|host|NA|host|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|sediment|host|NA|host|NA|NA|NA|NA|water|soil|NA|NA|NA|NA|biofilm|NA|NA|bioreactor/digester|host|sediment|NA|water|NA|NA|NA|water|host|water|water|NA|NA|soil|soil|NA|NA|host|NA|NA|sludge|NA|NA|NA|water|NA|NA|water|host|water|host|host|water|water|water|water|host|NA|soil|NA|soil|soil|biofilm|NA|NA|NA|NA|NA|NA|wastewater|NA|water|NA|NA|NA|soil|wastewater|NA|NA|water|NA|NA|NA|NA|wastewater|soil|host|host|NA|NA|host|NA|NA|NA|water|NA|NA|water|host|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|water|NA|NA|NA|NA|water|water|host|biofilm|water|NA|sediment|NA|NA|NA|NA|NA|NA|sediment|NA|water|sediment|host|water|NA|NA|water|water|water|water|NA|NA|NA|sediment|water|water|NA|NA|NA|NA|sediment|host|NA|water|water|water|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|water|biofilm|NA|NA|NA|water|water|NA|NA|water|water|NA|NA|sediment|NA|NA|water|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|water|water|host|rock|host|NA|water|soil|NA|NA|water|sediment|sediment|water|NA|NA|water|NA|NA|sediment|NA|host|host|NA|water|host|NA|host|host|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|host|water|host|water|water|NA|NA|NA|NA|NA|host|NA|water|NA|host|NA|water|NA|NA|NA|NA|NA,NA,NA|aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic|microaerophilic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|NA|NA|NA|NA|facultative|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|aerobic|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|facultative|microaerophilic|NA|NA|microaerophilic|microaerophilic|microaerophilic|facultative|NA|NA|NA|facultative|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|facultative|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|facultative|NA|NA|aerobic|aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|facultative|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|obligate aerobic|aerobic|facultative|NA|obligate aerobic|facultative|NA|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|obligate aerobic|obligate aerobic|facultative|facultative|facultative|NA|NA|aerobic|NA|obligate aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|facultative|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|microaerophilic|NA|NA|NA|NA|NA
Flavobacteriale_jump22,host,NA|host|host|NA|NA|NA|host|host|host|NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|host|NA,NA,NA|aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic|microaerophilic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|NA
Flavobacteriale_jump23,host,NA,NA,NA
Flavobacteriale_jump24,host|host,host|host|NA|NA|NA|host|host|host,NA|NA,aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA
Flavobacteriale_jump25,NA,NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host,NA,NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic
Flavobacteriale_jump26,NA,NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host,NA,NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA
Flavobacteriale_jump27,NA,NA,NA,NA
Flavobacteriale_jump28,water,NA|NA,NA,NA|NA
Flavobacteriale_jump29,NA|NA,soil|NA|NA|NA,NA|NA,obligate aerobic|NA|aerobic|NA
Flavobacteriale_jump30,NA,NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA,NA,NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA
Flavobacteriale_jump31,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump32,NA|host,NA|NA,NA|aerobic,NA|NA
Flavobacteriale_jump33,NA|NA,host|host,NA|NA,aerobic|NA
Flavobacteriale_jump34,NA,host,microaerophilic,aerobic
Flavobacteriale_jump35,NA,NA|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|NA
Flavobacteriale_jump36,NA,host|host|NA|NA|NA|NA|sediment|NA|NA|water|NA|water|host|NA|NA|host|sediment|NA|host|water|NA|sediment|sediment|host|host|sediment|water,NA,obligate aerobic|obligate aerobic|NA|NA|NA|NA|facultative|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|aerobic|obligate aerobic|NA|aerobic|aerobic|aerobic
Flavobacteriale_jump37,water,NA,aerobic,NA
Flavobacteriale_jump38,water,host,aerobic,obligate aerobic
Flavobacteriale_jump39,NA,host|NA|NA|NA|NA|sediment|NA|NA,NA,obligate aerobic|NA|NA|NA|NA|facultative|NA|NA
Flavobacteriale_jump40,water,host,obligate aerobic,obligate aerobic
Flavobacteriale_jump41,water,NA|NA|sediment|NA|NA,obligate aerobic,NA|NA|facultative|NA|NA
Flavobacteriale_jump42,NA,water|host|NA,NA,aerobic|aerobic|NA
Flavobacteriale_jump43,host,NA,obligate aerobic,NA
Flavobacteriale_jump44,NA|NA|water|water|NA|sediment,host,NA|NA|obligate aerobic|aerobic|NA|NA,obligate aerobic
Flavobacteriale_jump45,NA,water,NA,aerobic
Flavobacteriale_jump46,NA,NA,NA,NA
Flavobacteriale_jump47,sediment,NA|sediment|water,obligate aerobic,aerobic|NA|obligate aerobic
Flavobacteriale_jump48,host,host|NA|host|NA|host,anaerobic,facultative|NA|NA|NA|facultative
Flavobacteriale_jump49,water,host|NA|host|NA|NA|NA|NA|water|soil|NA|NA|NA|NA|biofilm|NA|NA|bioreactor/digester|host|sediment|NA|water|NA|NA|NA|water|host|water|water|NA|NA|soil|soil|NA|NA|host|NA|NA|sludge|NA|NA|NA|water|NA|NA|water|host|water|host|host|water|water|water|water|host|NA|soil|NA|soil|soil|biofilm|NA|NA|NA|NA|NA|NA|wastewater|NA,obligate aerobic,aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|facultative|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|facultative|NA|NA|aerobic|aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA
Flavobacteriale_jump50,sediment,NA,obligate aerobic,NA
Flavobacteriale_jump51,NA,host,NA,aerobic
Flavobacteriale_jump52,NA|NA,NA|soil|soil|biofilm,NA|NA,NA|aerobic|aerobic|aerobic
Flavobacteriale_jump53,NA,NA,NA,NA
Flavobacteriale_jump54,soil|soil|sediment|sediment|sediment|NA|host|water|water|sediment,water|NA|NA|NA|soil|wastewater|NA|NA|water|NA|NA|NA|NA|wastewater|soil|host|host,aerobic|aerobic|obligate aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|NA,aerobic|NA|NA|NA|obligate aerobic|facultative|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|aerobic
Flavobacteriale_jump55,host,host|water|water,aerobic,aerobic|obligate aerobic|aerobic
Flavobacteriale_jump56,NA,sediment,NA,NA
Flavobacteriale_jump57,NA|NA,NA,NA|NA,NA
Flavobacteriale_jump58,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump59,sediment,NA|NA|NA|NA|water|water,obligate aerobic,NA|NA|aerobic|aerobic|aerobic|aerobic
Flavobacteriale_jump60,NA|soil|soil,biofilm|water|NA|sediment|NA|NA|NA|NA|NA|NA|sediment|NA|water|sediment|host|water|NA,NA|obligate aerobic|facultative,aerobic|NA|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA
Flavobacteriale_jump61,NA,NA|NA|NA|NA,NA,aerobic|aerobic|NA|NA
Flavobacteriale_jump62,NA,water|sediment|host|water|NA,NA,NA|obligate aerobic|aerobic|aerobic|NA
Flavobacteriale_jump63,host,water,obligate aerobic,aerobic
Flavobacteriale_jump64,NA|sediment|NA,water|water|NA,NA|aerobic|NA,obligate aerobic|aerobic|aerobic
Flavobacteriale_jump65,NA|NA,water|biofilm|NA|NA|NA|water|water|NA|NA|water|water|NA|NA|sediment|NA|NA|water|NA|NA,NA|NA,NA|obligate aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA
Flavobacteriale_jump66,sediment,NA,obligate aerobic,NA
Flavobacteriale_jump67,NA,NA,NA,NA
Flavobacteriale_jump68,NA,NA,NA,NA
Flavobacteriale_jump69,NA,NA|NA|host|water|host|water|water|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|facultative|aerobic|NA
Flavobacteriale_jump70,NA|water,NA|NA,NA|aerobic,NA|facultative
Flavobacteriale_jump71,NA,host|NA|water,NA,NA|aerobic|aerobic
Flavobacteriale_jump72,NA|NA,NA,NA|NA,NA
Flavobacteriale_jump73,NA,NA|NA,NA,NA|NA
Pseudomonadale_jump1,NA,NA|NA,NA,NA|NA
Pseudomonadale_jump2,water,NA,facultative,NA
Pseudomonadale_jump3,host,NA|NA|wastewater|water|NA,NA,NA|NA|aerobic|aerobic|NA
Pseudomonadale_jump4,host,water|NA|NA,aerobic,facultative|NA|NA
Pseudomonadale_jump5,NA,NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|soil|NA|sediment|NA|sediment|host|NA|host|NA|host|NA|NA|water|NA|NA|soil|NA|NA|host|NA|NA|NA|NA|sediment|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|sediment|water|NA|water|host|water|sediment|water|NA|NA|water|sediment|NA|NA|water|NA|NA|water|sediment|NA|water|NA|NA|water|NA|NA|NA|NA|water|NA,NA,NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|anaerobic|NA|facultative|NA|NA|aerobic|NA|facultative|NA|obligate aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|NA|NA|microaerophilic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Pseudomonadale_jump6,NA,NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,NA,NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Pseudomonadale_jump7,NA,NA|NA,NA,NA|NA
Pseudomonadale_jump8,host,NA|sediment,obligate aerobic,NA|obligate aerobic
Pseudomonadale_jump9,NA|NA|NA|NA|bioreactor/digester,wastewater|bioreactor/digester|NA|NA|NA|NA|NA|NA|NA|compost|wastewater|host|host|host|host|host|host|host|host|NA|host|NA|NA|host|host|NA|host|host|host|host|host|host|NA|host|NA|host|host|host|NA|NA|NA|NA|wastewater|soil|NA|NA|soil|soil|soil|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|NA|NA|NA|NA|NA|soil|host|NA|host|NA|host|soil|NA|host|host|NA|host|NA|NA|wastewater|host|NA|soil|host|sludge|NA|host|NA|soil|soil|host|NA|NA|NA|host|host|NA|NA|NA|host|host|NA|host|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|host|NA|host|food|NA|host|NA|food|food|NA|NA|soil|NA|soil|host|soil|host|NA|soil|NA|NA|host|NA|NA|NA|NA|NA|host|NA|NA|host|host|host|food|NA|host|NA|host|NA|NA|NA|host|water|NA|host|NA|NA|host|host|NA|NA|NA|NA,microaerophilic|anaerobic|NA|anaerobic|aerobic,aerobic|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|microaerophilic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|facultative|NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA
Pseudomonadale_jump10,NA,wastewater,NA,aerobic
Pseudomonadale_jump11,host,host|host,aerobic,aerobic|aerobic
Pseudomonadale_jump12,NA,NA|host|soil|NA|host|host|NA|host,NA,NA|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic
Pseudomonadale_jump13,host,NA,aerobic,NA
Enterobacterales_jump1,NA|NA,NA,NA|NA,NA
Enterobacterales_jump2,NA,NA,NA,NA
Enterobacterales_jump3,host,NA,anaerobic,NA
